Day,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Day_1,20.0,16.498464592944423,3.6805403701847053,6.887381063112836,15.278878855940366,16.3704681573583,18.88224040036247,23.597315880442984,,
Day_2,18.0,15.864771412379774,4.5271134673312705,6.449829373670606,13.890941163752007,16.549179992708694,18.56158113733387,21.503562390096537,,
Day_3,15.0,17.596914999295667,5.248209161638027,8.179567064587946,13.960351155233948,16.909870256748665,21.21986985608414,25.421444349583524,,
Day_4,14.0,16.126995604054645,4.919413358075305,8.80252108520741,13.059554882392076,15.288533023096111,19.221472781177486,24.907488980228894,,
Day_5,17.0,16.523971076617954,3.632784198884355,8.729643829740235,14.174345971043012,17.13735885569382,18.20589302104057,23.1341774016331,,
Day_6,20.0,16.02296378889212,4.271490605716372,10.328125085170104,13.153380128575478,14.222306082535706,20.31253547901133,23.61973085989043,,
Day_7,11.0,17.825546496056184,4.025872680222995,12.674293005614274,14.238918587974977,17.831691566543245,21.49667017977108,23.885510770265896,,
Day_8,12.0,14.640456845843525,4.572349369259116,7.711031367083981,12.78195685878659,13.541253383406685,15.188758890450677,24.750775405695126,,
Day_9,28.0,15.42132129581041,5.0259763087408285,4.108064529705407,12.359848872736485,15.155778880142567,17.56656786071703,27.0,,
Day_10,12.0,16.31727858744881,4.651336570677833,7.093844342276586,13.704007482907404,17.34743890120626,20.065068135338663,21.933871980142555,,
Day_11,17.0,14.810720269336715,5.125095691193908,4.549634349383765,11.532593131520072,15.483728632891909,18.10970589085147,24.935951578415057,,
Day_12,13.0,15.01138366529608,5.024286319513396,6.2125685869357214,12.428496106453744,15.996410070926633,17.114511336144425,26.386730515063828,,
Day_13,17.0,13.910435668439193,5.875289472057786,0.8071848475475791,10.353784390894868,13.91363408183068,15.903258677331344,25.176691821726415,,
Day_14,18.0,15.304210043409292,3.3672045397561203,9.143063392139728,12.833679871581944,14.315690872087538,17.48147161389241,22.828797376818677,,
Day_15,24.0,16.1919175537214,5.342149349045108,2.631924430178674,14.073560248280566,16.422245250013304,18.87002348460526,27.0,,
Day_16,20.0,13.943525455458266,4.196533914140069,7.535105126774087,10.636844358182296,13.36592888563115,16.10164499575276,24.290702266632515,,
Day_17,21.0,14.319703240231732,5.337220939129923,7.067816738526814,10.7393929431161,14.44500382992772,16.430421937420405,27.0,,
Day_18,13.0,16.060580028832945,5.255334737980699,8.111309755883058,12.21413120043176,15.688321690775812,19.28967948865794,24.165075522818135,,
Day_19,13.0,15.91117114132817,2.9577046366458655,11.51721446983526,13.694272825859574,15.59371442536252,17.715182797662607,22.482511969574233,,
Day_20,13.0,15.372290451876578,4.779515692422772,6.8819188824184945,13.275630771451487,15.843891241772816,16.98923310139969,26.421515432224204,,
Day_21,22.0,16.922085981050234,5.133745683715162,8.186436568320314,12.837863520641452,15.808071956421777,20.32520282725158,27.0,,
Day_22,18.0,15.471443322381479,4.735940644749394,9.246457815763616,11.683676031534443,15.79385104733236,18.60265771282458,26.18837011241035,,
Day_23,22.0,15.562439696058869,4.447073507537162,5.757467527817591,13.90335650829649,15.158548803712064,18.095718977101335,23.288008944270388,,
Day_24,17.0,13.359334268702952,4.1886213670873005,7.945873731696464,9.18768266734795,12.726953336048965,15.823528111309914,21.570706885714554,,
Day_25,14.0,14.338341553208968,4.410959605751845,8.363881166781642,11.447256440779812,13.890539009832118,17.00661955865726,23.589868515318884,,
Day_26,14.0,14.112734534849576,3.685867505109443,9.518578689054245,11.227796735790694,13.49309023823221,16.830689278802478,21.02376819441385,,
Day_27,26.0,13.551492353471824,4.543226330931814,5.275628951637153,10.588196381578214,12.97673299263519,16.024672784575618,24.550209528804675,,
Day_28,13.0,15.113463872157942,4.494552007338646,9.392088042825034,10.878766910710542,15.64955484040248,18.182152505757013,21.70812394675948,,
Day_29,12.0,14.126263284712385,3.513137955697106,7.89089844510208,11.972808669671577,13.846679815082485,16.219937940016514,19.605187855963106,,
Day_30,17.0,13.83707729241131,5.78825906379305,0.2989004266198214,11.3122617600712,14.148057741620532,16.159243657140195,24.197321366526683,,
Day_31,17.0,14.599706025454125,4.241214089005162,8.816160898713107,12.1451549737738,14.408771941298454,16.120826142357004,26.396441992593232,,
